question,retreived chunk,context,answer,source
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete Form F6 (APPROVE/ ADJUST NARCOTIC QUOTA), and attach the relevant documents. 2 Request will be endorsed. 3 The customer will pay the submission fees. 4 The MOHAP officer will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used annually should be determined. Service completion duration 3 to 5 working days Service fees Application Fee",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"in order to purchase narcotics from the local agent or MOHAP's central warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete the form F6 (Approve/Adjust Narcotic Quota), and attach the relevant documents. 2 The request will be endorsed by the employee concerned. 3 The customer shall pay the submission fee. 4 The employee concerned will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"in order to purchase narcotics from the local agent or MOHAP's central warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete the form F6 (Approve/Adjust Narcotic Quota), and attach the relevant documents. 2 The request will be endorsed by the employee concerned. 3 The customer shall pay the submission fee. 4 The employee concerned will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"narcotics from the local agent or MOHAP's central warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete Form F6 (APPROVE/ ADJUST NARCOTIC QUOTA), and attach the relevant documents. 2 Request will be endorsed. 3 The customer will pay the submission fee. 4 The MOH&P officer will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used annually should be determined. Service completion duration One",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"Request to determine or modify the Narcotic drugs quotas of a Private Health or Pharmaceutical Institution Start Service Bookmark service Service completion duration One hour View more Service fees Application Fee AED100 About the Service Application for approval to determine narcotic drugs quotas for new establishments or to modify narcotic drugs quotas for establishments already registered at MOHAP, in order to purchase narcotics from the local agent or MOHAP's central warehouses for use within the establishment.",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?",6000 Renewal of the license for multi-speciality medical center (maximum 18000): AED 12000 Renewal of the license for IVF center/convalescence center/one-day surgery hospital: AED 20000 Renewal of the license for hospital of 1-50 beds: AED 20000 Renewal of the license for hospital of 51-100 beds: AED 30000 Renewal of the license for hospital of more than 100 beds: AED 40000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP,This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?","Specialist clinic, medical diagnosis center, emergency center: AED 6,000 Multi-specialty clinic: AED 12,000 to 18,000 maximum Fertility center, convalescent home, one-day surgery hospital: AED 20,000 Hospital (1 to 50 beds): AED 20,000 Hospital (50 to 100 beds): AED 30,000 Hospital (100+ beds): AED 40,000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP Smart App Email: info@mohap.gov.ae  Support Email: info@mohap.gov.ae",This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?",of medical facilities may only be done after obtaining the final approval of the site plan from MOHAP engineers. Service completion duration Approval of the application: 1 working day Final licensing: 2 working days Engineering team approval: Initial inspection: 2 working days Verification of the facility plan: 5 to 7 working days Final inspection: 7 to10 working days Service fees Application fee for transferring the location of a facility: AED 100 Service fees for transferring the location of a facility: AED 100 Initial,This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?","center, home health center: AED 5,000 Specialist clinic, medical diagnosis center, emergency center: AED 6,000 Multi-specialty clinic: AED 12000 to AED 18000 maximum Fertility center, convalescent home, one-day surgeries hospital: AED 20000 Hospital (1 to 50 beds): AED 20000 Hospital (50 to 100 beds): AED 30000 Hospital (100+ beds): AED 40000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP Smart App Email:",This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?",Center: AED 6000 Multi-Specialty Clinic: AED 12000 to AED 18000. Fertility Center/Convalescent Home/One-Day Surgeries Hospital: AED 20000 Hospital (1 to 50 beds): AED 20000 Hospital (50 to 100 beds): AED 30000 Hospital (100+ beds): AED 40000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP Smart App Email: info@mohap.gov.ae  Support Email: info@mohap.gov.ae Call Center: 80011111  Payment channels E- Payment Target audience,This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which specific document must be completed at the Customer Happiness Centers by the owner of a healthcare facility applying for licensing?,photos with white background A character reference (document available in Customer Happiness Centers) must be completed by the owner; licensing procedures will resume after the approval of the authority concerned. A non-national can own a health facility provided that the local authority to which the facility belongs issues an approval letter regarding the percentage of foreign ownership. An electric elevator must be installed if the facility consists of high floors. Compliance with engineering conditions and standards,This service requires a character reference for licensing a healthcare facility under MOHAP regulations.,"The owner must complete a character reference document, which is available at the Customer Happiness Centers.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which specific document must be completed at the Customer Happiness Centers by the owner of a healthcare facility applying for licensing?,photos with white background A character reference (document available in Customer Happiness Centers) must be completed by the owner; licensing procedures will resume after the approval of the authority concerned. A non-national can own a health facility provided that the local authority to which the facility belongs issues an approval letter regarding the percentage of foreign ownership. An electric elevator must be installed if the facility consists of high floors. Compliance with engineering conditions and standards,This service requires a character reference for licensing a healthcare facility under MOHAP regulations.,"The owner must complete a character reference document, which is available at the Customer Happiness Centers.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which specific document must be completed at the Customer Happiness Centers by the owner of a healthcare facility applying for licensing?,"a Customer Happiness Center. 7 Print the ad design, including the MOHAP approval and the start and expiry dates of the license. Conditions & Requirements Renewal applications should be submitted at least 3 working days before the expiry of the original licence. If any changes, additions or replacement of documents are required upon renewal, the application must be submitted on a new form. One account must be opened for each healthcare institution that holds a license from one of the licensing authorities to practice in",This service requires a character reference for licensing a healthcare facility under MOHAP regulations.,"The owner must complete a character reference document, which is available at the Customer Happiness Centers.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which specific document must be completed at the Customer Happiness Centers by the owner of a healthcare facility applying for licensing?,"be approved. 7 If the application requires a final license (issuance of a new license, re-licensing or transfer of a license), the customer (facility) must submit the required documents to the Ministry of Health and Prevention. 8 The employee concerned will approve the application, provided all the conditions are met, and issue the final license. Conditions & Requirements A valid assessment certificate updated as per the Health Professional Licensing Requirements (PQR) Service completion duration 3 working days Service",This service requires a character reference for licensing a healthcare facility under MOHAP regulations.,"The owner must complete a character reference document, which is available at the Customer Happiness Centers.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which specific document must be completed at the Customer Happiness Centers by the owner of a healthcare facility applying for licensing?,"it is only granted in order to complete the procedures required to obtain the license. FAQ’s How can I get a letter of No objection/ to whom it may concern, to process transactions with other government entities? You can visit the Customer Happiness Center in the Medical District where the facility is located Service completion duration Approval of the application: 1 working day Final licensing: 2 working days Engineering team approval: Initial inspection: 2 working days Verification of the facility plan: 5 to 7 working",This service requires a character reference for licensing a healthcare facility under MOHAP regulations.,"The owner must complete a character reference document, which is available at the Customer Happiness Centers.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
What is the exact document required from the Department of Economic Development for the final approval of a medical facility license?,A copy of the establishment lease agreement A copy of the trade name Final inspection and final approval of the license: A copy of trade license issued by the Department of Economic Development A copy of license of the pharmacist responsible for pharmaceutical facility A copy of a certificate of conformity with preventive safety requirements issued by the civil defense A list of partners Additional documents for marketing offices: Documents required for initial approval: A copy of the marketing office’s memorandum and,This document is part of the final approval process for healthcare facilities applying for a license under MOHAP.,A trade license issued by the Department of Economic Development is required for the final approval of a medical facility license.,https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
