question,retreived chunk,context,answer,source
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,via email. Conditions & Requirements The quantities of drugs expected to be used annually should be determined. Service completion duration One hour Service fees Application Fee AED100 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Service locations MOHAP Website - www.mohap.gov.ae MOHAP Smart App Support controlledchemicals@mohap.gov.ae Payment channels E- Payment Target audience Pharmacies within hospitals One day surgery centers Resources Form RDC-NP-F06 NARCOTIC QUOTA ADJUST Infographic_Approve narcotic drugs for internal pharmacies at private hospitals Department name Drug Sector name Health Regulation Main service Regulation of Anesthetic drugs and chemical precursors Service Code 110-46-007-000 Service Classfication Transactional Service Type Government to Business Sub Service Type Variation Number of Transactions 8 Required Documents A copy of valid license of the hospital/one-day surgery clinic. A copy of valid license of the pharmacy. A copy of valid,This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"completion of requirements) and applications will be referred to the Higher Committee for Human Medicines Registration 5 The registration of the manufacturing site will be deliberated by the Higher Committee for final decision (conditional approval, postpone approval until completion of requirements) 6 Communication shall be made with the company and completion of all requirements be requested 7 The registration certificate of the manufacturing site will be issued after the company fulfills the conditions and requirements of the Higher Committee for Human Medicines Registration 8 The issual of the registration certificate of the manufacturing site will be approved Conditions & Requirements The applicant must be a medical warehouse licensed by MOHAP and must have a valid license. Renewal of registration must be done every 5 years. Renewal of registration will be in the same fees and procedures. Manufacturing Site Should have a Marketing Authorization Holder (Legal Manufacturer) & it",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"Approve narcotic drugs for internal pharmacies at private hospitals Start Service Bookmark service Service completion duration One hour View more Service fees Application Fee AED100 About the Service This service allows submitting a request to obtain approval to determine narcotic drugs quotas for new establishments or to modify narcotic drugs quotas of establishments already registered at MOHAP, for use within the establishment, in order to purchase narcotics from the local agent or MOHAP's central warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete the form F6 (Approve/Adjust Narcotic Quota), and attach the relevant documents. 2 The request will be endorsed by the employee concerned. 3 The customer shall pay the submission fee. 4 The employee concerned will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used annually should be determined. Service",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"Request to determine or modify the Narcotic drugs quotas of a Private Health or Pharmaceutical Institution Start Service Bookmark service Service completion duration One hour View more Service fees Application Fee AED100 About the Service Application for approval to determine narcotic drugs quotas for new establishments or to modify narcotic drugs quotas for establishments already registered at MOHAP, in order to purchase narcotics from the local agent or MOHAP's central warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete Form F6 (APPROVE/ ADJUST NARCOTIC QUOTA), and attach the relevant documents. 2 Request will be endorsed. 3 The customer will pay the submission fee. 4 The MOH&P officer will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used annually should be determined. Service completion duration One hour Service fees Application Fee AED100",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"Approve narcotic drugs for one day surgery centers Start Service Bookmark service Service completion duration 3 to 5 working days View more Service fees Application Fee AED100 About the Service Application for approval of narcotic drugs quotas for new establishments or to modify narcotic drugs quotas of establishments already registered at MOHAP, in order to purchase narcotics from the local agent or MOHAP's central warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete Form F6 (APPROVE/ ADJUST NARCOTIC QUOTA), and attach the relevant documents. 2 Request will be endorsed. 3 The customer will pay the submission fees. 4 The MOHAP officer will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used annually should be determined. Service completion duration 3 to 5 working days Service fees Application Fee AED100 Service channels MOHAP Website MOHAP Smart App",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?","of the facility plan: 5 to 7 working days Final inspection: 7 to 10 working days Final licensing: 5 working days Service fees Application fee: AED 100 Initial inspection fee: Hospital, convalescent home, fertility center, emergency center, home medical center: AED 2000 General clinic, specialist clinic, medical center, medical diagnosis center, rehabilitation center: AED 1000 Final License fees: General clinic, rehabilitation center, home health center: AED 5,000 Specialist clinic, medical diagnosis center, emergency center: AED 6,000 Multi-specialty clinic: AED 12000 to AED 18000 maximum Fertility center, convalescent home, one-day surgeries hospital: AED 20000 Hospital (1 to 50 beds): AED 20000 Hospital (50 to 100 beds): AED 30000 Hospital (100+ beds): AED 40000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP Smart App Email: info@mohap.gov.ae  Support Email: info@mohap.gov.ae Call",This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?",surgery hospital: AED 20000 Hospital of 1-50 beds: AED 20000 Hospital of 51-100 beds: AED 30000 Hospital of more than 100 beds: AED 40000 Service completion duration 2 working days Service fees License application fee: AED 100 Final License Fees Renewal of the license for general clinic/rehabilitation center/home healthcare center: AED 5000 Renewal of the license for specialty clinic/diagnostic center/emergency services: AED 6000 Renewal of the license for multi-speciality medical center (maximum 18000): AED 12000 Renewal of the license for IVF center/convalescence center/one-day surgery hospital: AED 20000 Renewal of the license for hospital of 1-50 beds: AED 20000 Renewal of the license for hospital of 51-100 beds: AED 30000 Renewal of the license for hospital of more than 100 beds: AED 40000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP Smart App Email: info@mohap.gov.ae  Support,This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?",Center: AED 6000 Multi-Specialty Clinic: AED 12000 to AED 18000. Fertility Center/Convalescent Home/One-Day Surgeries Hospital: AED 20000 Hospital (1 to 50 beds): AED 20000 Hospital (50 to 100 beds): AED 30000 Hospital (100+ beds): AED 40000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP Smart App Email: info@mohap.gov.ae  Support Email: info@mohap.gov.ae Call Center: 80011111  Payment channels E- Payment Target audience Investors in the health sector who own different health facilities Resources User Manual 20_Changing the Licensed Ownership of Private Medical Facilities Infographic - Changing the Licensed Ownership of Private Medical Facilities - PDF 403KB Department name Licensing and Accreditation Sector name Health Regulation Main service Medical Establishment Licencing and Registration Service Code 110-03-021-047 Service Classfication Transactional Service Type Government to,This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?","the requirements and submit them via electronic service 7 The relevant technical and ministerial committees will re-deliberate the registration of products that have been deferred in advance as soon as companies complete the requirements 8 The certificates of registration of products that have been approved for registration will be issued, provided all conditions and requirements are fulfilled. Registration certificates are valid for five years effective the date of committee's approval 9 The pharmaceutical certificates (for locally manufactured pharmaceutical products) will be issued and be valid for one year effective the date of issuance Conditions & Requirements Marketing Authorization Holder companies must be registered by MOHAP before they could register their products. The marketing office or medical warehouse must be licensed by the Ministry of Health and have a valid license. FAQ’s What are the fees for the registration of a medical device? Application: AED100. Registration",This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?","of the visit report. It is recommended to issue a GMP certificate. Issuing MOHAP facility license upon completing the required fees\documents: 3 working days from the date of receiving the last requirement Service fees Application fee: AED 100 Fees for initial inspection, according to the type of facility: Warehouses, pharmacies and marketing offices: AED 1,000 per inspection Final inspection fees, according to the type of facility: Warehouses, pharmacies and marketing offices: AED 1,000 per inspection Final license fees, according to the type of facility: Pharmacies and warehouses: AED 7500 Marketing offices: AED 10,000 Warehouses for export: AED 10,000 Manufacturing facilities of pharmaceuticals and medical device: Application fee: AED 100 Final inspection fee: AED 3000 per inspection Approval fee for architectural plans and drawings: AED 2000 Fees for final licensing of manufacturing facilities of pharmaceuticals and medical device: AED 50000 Service channels MOHAP Website:",This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
