question,retreived chunk,context,answer,source
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"central warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete Form F6 (APPROVE/ ADJUST NARCOTIC QUOTA), and attach the relevant documents. 2 Request will be endorsed. 3 The customer will pay the submission fees. 4 The MOHAP officer will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used annually should be determined. Service completion duration 3 to 5 working days Service",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"in order to purchase narcotics from the local agent or MOHAP's central warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete Form F6 (APPROVE/ ADJUST NARCOTIC QUOTA), and attach the relevant documents. 2 Request will be endorsed. 3 The customer will pay the submission fee. 4 The MOH&P officer will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used annually should be",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"use within the establishment, in order to purchase narcotics from the local agent or MOHAP's central warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete the form F6 (Approve/Adjust Narcotic Quota), and attach the relevant documents. 2 The request will be endorsed by the employee concerned. 3 The customer shall pay the submission fee. 4 The employee concerned will approve and forward the approval to the customer via email. Conditions & Requirements",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,Holder companies and product manufacturing sites must be registered in MOHAP prior to the registration of their products The applicant must be a medical warehouse licensed by,This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"Request to determine or modify the Narcotic drugs quotas of a Private Health or Pharmaceutical Institution Start Service Bookmark service Service completion duration One hour View more Service fees Application Fee AED100 About the Service Application for approval to determine narcotic drugs quotas for new establishments or to modify narcotic drugs quotas for establishments already registered at MOHAP, in order to purchase narcotics from the local agent or MOHAP's central warehouses for use within the",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?","500 Final License Fees: General Clinic/Rehabilitation Center/Home Health Center: AED 5,000 Specialist Clinic/Medical Diagnosis Center/Emergency Center: AED 6,000 Multi-Specialty Clinic: AED 12,000 - AED 18,000 Fertility Center/Convalescent Home/One-Day Surgery: AED 20,000 Hospital (1 to 50 beds): AED 20,000 Hospital (50 to 100 beds): AED 30,000 Hospital (100+ beds): AED 40,000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website:",This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?",services: AED 6000 Renewal of the license for multi-speciality medical center (maximum 18000): AED 12000 Renewal of the license for IVF center/convalescence center/one-day surgery hospital: AED 20000 Renewal of the license for hospital of 1-50 beds: AED 20000 Renewal of the license for hospital of 51-100 beds: AED 30000 Renewal of the license for hospital of more than 100 beds: AED 40000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP,This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?","clinic, rehabilitation center, home health center: AED 5,000 Specialist clinic, medical diagnosis center, emergency center: AED 6,000 Multi-specialty clinic: AED 12000 to AED 18000 maximum Fertility center, convalescent home, one-day surgeries hospital: AED 20000 Hospital (1 to 50 beds): AED 20000 Hospital (50 to 100 beds): AED 30000 Hospital (100+ beds): AED 40000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae",This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?","health center: AED 5,000 Specialist clinic, medical diagnosis center, emergency center: AED 6,000 Multi-specialty clinic: AED 12,000 to 18,000 maximum Fertility center, convalescent home, one-day surgery hospital: AED 20,000 Hospital (1 to 50 beds): AED 20,000 Hospital (50 to 100 beds): AED 30,000 Hospital (100+ beds): AED 40,000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP Smart App Email:",This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?",The healthcare facility must hold a valid license. Service completion duration 3 working days Service fees Register Fee AED300 Service channels MOHAP Website Service locations,This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
Which specific document must be completed at the Customer Happiness Centers by the owner of a healthcare facility applying for licensing?,"a Customer Happiness Center. 7 Print the ad design, including the MOHAP approval and the start and expiry dates of the license. Conditions & Requirements Renewal applications should be submitted at least 3 working days before the expiry of the original licence. If any changes, additions or replacement of documents are required upon renewal, the application must be submitted on a new form. One account must be opened for each healthcare institution that holds a license from one of the licensing authorities",This service requires a character reference for licensing a healthcare facility under MOHAP regulations.,"The owner must complete a character reference document, which is available at the Customer Happiness Centers.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
