question,retreived chunk,context,answer,source
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"in order to purchase narcotics from the local agent or MOHAP's central warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete the form F6 (Approve/Adjust Narcotic Quota), and attach the relevant documents. 2 The request will be endorsed by the employee concerned. 3 The customer shall pay the submission fee. 4 The employee concerned will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete Form F6 (APPROVE/ ADJUST NARCOTIC QUOTA), and attach the relevant documents. 2 Request will be endorsed. 3 The customer will pay the submission fees. 4 The MOHAP officer will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used annually should be determined. Service completion duration 3 to 5 working days Service fees Application Fee",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"narcotics from the local agent or MOHAP's central warehouses for use within the establishment. Service Process 1 The customer shall submit the request, complete Form F6 (APPROVE/ ADJUST NARCOTIC QUOTA), and attach the relevant documents. 2 Request will be endorsed. 3 The customer will pay the submission fee. 4 The MOH&P officer will approve and forward the approval to the customer via email. Conditions & Requirements The quantities of drugs expected to be used annually should be determined. Service completion duration One",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,via email. Conditions & Requirements The quantities of drugs expected to be used annually should be determined. Service completion duration One hour Service fees Application Fee AED100 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Service locations MOHAP Website - www.mohap.gov.ae MOHAP Smart App Support controlledchemicals@mohap.gov.ae Payment channels E- Payment Target audience Pharmacies within hospitals One day surgery centers Resources Form RDC-NP-F06 NARCOTIC QUOTA ADJUST Infographic_Approve,This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
What specific condition must be met for a health facility to be eligible to apply for narcotic drug quotas from MOHAP's central warehouses?,"Request to determine or modify the Narcotic drugs quotas of a Private Health or Pharmaceutical Institution Start Service Bookmark service Service completion duration One hour View more Service fees Application Fee AED100 About the Service Application for approval to determine narcotic drugs quotas for new establishments or to modify narcotic drugs quotas for establishments already registered at MOHAP, in order to purchase narcotics from the local agent or MOHAP's central warehouses for use within the establishment.",This service allows hospitals and one-day surgery centers to apply for narcotic drug quotas for use within the facility.,"The facility must submit an official letter from the technical director, detailing the types, quantities, concentrations of narcotic drugs required, and the number of hospital beds and operations performed.",https://mohap.gov.ae/en/services/approve-narcotic-drugs-for-internal-pharmacies-at-private-hospitals
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?",6000 Renewal of the license for multi-speciality medical center (maximum 18000): AED 12000 Renewal of the license for IVF center/convalescence center/one-day surgery hospital: AED 20000 Renewal of the license for hospital of 1-50 beds: AED 20000 Renewal of the license for hospital of 51-100 beds: AED 30000 Renewal of the license for hospital of more than 100 beds: AED 40000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP,This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?",surgery hospital: AED 20000 Hospital of 1-50 beds: AED 20000 Hospital of 51-100 beds: AED 30000 Hospital of more than 100 beds: AED 40000 Service completion duration 2 working days Service fees License application fee: AED 100 Final License Fees Renewal of the license for general clinic/rehabilitation center/home healthcare center: AED 5000 Renewal of the license for specialty clinic/diagnostic center/emergency services: AED 6000 Renewal of the license for multi-speciality medical center (maximum 18000): AED 12000 Renewal,This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?",Center: AED 6000 Multi-Specialty Clinic: AED 12000 to AED 18000. Fertility Center/Convalescent Home/One-Day Surgeries Hospital: AED 20000 Hospital (1 to 50 beds): AED 20000 Hospital (50 to 100 beds): AED 30000 Hospital (100+ beds): AED 40000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP Smart App Email: info@mohap.gov.ae  Support Email: info@mohap.gov.ae Call Center: 80011111  Payment channels E- Payment Target audience,This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?","Specialist clinic, medical diagnosis center, emergency center: AED 6,000 Multi-specialty clinic: AED 12,000 to 18,000 maximum Fertility center, convalescent home, one-day surgery hospital: AED 20,000 Hospital (1 to 50 beds): AED 20,000 Hospital (50 to 100 beds): AED 30,000 Hospital (100+ beds): AED 40,000 Service channels MOHAP Website: www.mohap.gov.ae MOHAP Smart App Email: info@mohap.gov.ae Service locations MOHAP Website: www.mohap.gov.ae   MOHAP Smart App Email: info@mohap.gov.ae  Support Email: info@mohap.gov.ae",This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
"How many beds must a hospital have before it can apply for the higher licensing fees of AED 30,000 for MOHAP approval?","After the 6-month period, the license will be legally cancelled. FAQ’s Does the renewal fee vary depending on the type of medical facility? Yes, there is a difference according to the type of medical facility as follows: (General clinic/rehabilitation center/home healthcare center): AED 5000 Specialty clinic/diagnostic center/emergency services: AED 6000 Multi-speciality medical center (maximum 18000): AED 12000 IVF center/convalescence center/one-day surgery hospital: AED 20000 Hospital of 1-50 beds: AED 20000 Hospital",This fee applies to hospitals with a specific number of beds when applying for final licensing approval from MOHAP.,"Hospitals with 50 to 100 beds must pay AED 30,000 for final licensing fees.",https://mohap.gov.ae/en/services/licensing-of-private-medical-facilities
